StudentID,Name,Email,Years,Concentration
101,John,john@gatech.edu,2021,Computer Science
102,Aaric ,aaric@gatech.edu,2020,Physics 
103,Ada,ada@gatech.edu,2021,Mathematics
104,Baker,baker@gatech.edu,2021,Computer Science
105,Brandon,brandon@gatech.edu,2021,Computer Science
106,Carin,carin@gatech.edu,2021,Computer Science
107,Charles,charles@gatech.edu,2020,Industrial Design
108,David,david@gatech.edu,2019,Mathematics
109,Darwin,darwin@gatech.edu,2021,Industrial Design
110,Ed,ed@gatech.edu,2019,Physics 
